arch,encoder,class_weights,n_runs,composite_score,dice_macro_mean,dice_macro_sd,dice_axon_mean,dice_axon_sd,dice_myelin_mean,dice_myelin_sd,dice_bg_mean,dice_bg_sd,iou_macro_mean,iou_macro_sd,iou_axon_mean,iou_axon_sd,iou_myelin_mean,iou_myelin_sd,iou_bg_mean,iou_bg_sd,precision_macro_mean,precision_macro_sd,precision_axon_mean,precision_axon_sd,precision_myelin_mean,precision_myelin_sd,precision_bg_mean,precision_bg_sd,recall_macro_mean,recall_macro_sd,recall_axon_mean,recall_axon_sd,recall_myelin_mean,recall_myelin_sd,recall_bg_mean,recall_bg_sd,hd95_macro_mean,hd95_macro_sd,hd95_myelin_axon_mean,hd95_myelin_axon_sd,hd95_axon_mean,hd95_axon_sd,hd95_myelin_mean,hd95_myelin_sd,hd95_bg_mean,hd95_bg_sd
unet++,densenet121,"[3.0, 1.0, 1.0]",15,0.7414,0.8998,0.0149,0.8241,0.0633,0.7328,0.0703,0.9396,0.0123,0.8216,0.0236,0.7451,0.0639,0.6209,0.0642,0.8886,0.0212,0.9112,0.0105,0.8643,0.0377,0.8013,0.047,0.9227,0.0258,0.8911,0.0201,0.8321,0.0725,0.7316,0.0763,0.96,0.0155,13.9757,7.5543,16.634,9.4919,17.9266,9.7508,15.3413,9.2704,8.6591,3.7038
unet++,densenet121,"[3.0, 1.0, 2.0]",15,0.745,0.8994,0.0144,0.825,0.062,0.7327,0.0668,0.94,0.0123,0.8211,0.023,0.7449,0.0632,0.6193,0.0615,0.8893,0.0213,0.9094,0.0108,0.8438,0.0399,0.8032,0.0416,0.9236,0.0245,0.8923,0.0192,0.8488,0.0717,0.7268,0.0731,0.9597,0.0154,13.5593,6.5505,16.1315,8.2162,17.1025,8.1582,15.1604,8.3081,8.415,3.2545
unet++,densenet121,"[3.0, 1.0, 3.0]",15,0.7417,0.8994,0.015,0.8249,0.0597,0.7331,0.0665,0.9402,0.0123,0.8212,0.0236,0.7444,0.0595,0.6199,0.0613,0.8898,0.0213,0.9087,0.0096,0.842,0.043,0.7989,0.0356,0.9259,0.0248,0.893,0.0207,0.8503,0.0693,0.7301,0.0742,0.9579,0.0136,14.0201,6.5563,16.6441,8.2733,17.5551,7.9218,15.7331,8.6641,8.7721,3.1762
unet++,densenet121,"[3.0, 2.0, 1.0]",15,0.7388,0.8996,0.0174,0.8229,0.0679,0.738,0.0732,0.9391,0.0121,0.8214,0.0275,0.7437,0.0692,0.6268,0.0685,0.8877,0.0211,0.9089,0.0119,0.8689,0.0345,0.7828,0.0397,0.9284,0.0236,0.8924,0.0234,0.8245,0.0854,0.7511,0.0814,0.953,0.017,14.4214,8.3522,17.2195,10.5734,18.2471,10.9727,16.1918,10.2094,8.8252,3.9635
unet++,densenet121,"[3.0, 2.0, 2.0]",15,0.7414,0.8996,0.0153,0.8197,0.0625,0.7329,0.0657,0.9394,0.0123,0.8214,0.0243,0.7398,0.0637,0.6208,0.0622,0.8883,0.0212,0.9082,0.0114,0.8505,0.0402,0.7908,0.0421,0.9277,0.0249,0.8932,0.0202,0.8364,0.0703,0.7397,0.074,0.9543,0.0167,13.839,5.9798,16.4244,7.5099,17.3884,7.3547,15.4603,7.7339,8.6683,2.9685
unet++,densenet121,"[3.0, 3.0, 1.0]",15,0.7418,0.9,0.016,0.8224,0.0612,0.738,0.067,0.939,0.0124,0.8217,0.0254,0.7421,0.0612,0.6265,0.0626,0.8876,0.0216,0.908,0.0111,0.8678,0.0404,0.7772,0.0401,0.9303,0.0253,0.8939,0.0217,0.8247,0.0696,0.7588,0.08,0.9508,0.0168,14.1035,6.8682,16.7457,8.7496,17.6096,9.0367,15.8818,8.53,8.8191,3.1364
unet++,densenet121,"[4.0, 1.0, 1.0]",15,0.7394,0.8994,0.0161,0.8237,0.0624,0.7301,0.0702,0.9398,0.0118,0.8211,0.0254,0.7453,0.0633,0.6189,0.0633,0.8891,0.0204,0.9117,0.0101,0.8626,0.0382,0.8054,0.038,0.9216,0.0231,0.8898,0.0217,0.831,0.0747,0.7245,0.0732,0.9618,0.0128,14.0511,7.6154,16.7779,9.5535,17.6744,9.2977,15.8814,9.824,8.5975,3.7824
unet++,densenet169,"[1.0, 1.0, 1.0]",15,0.7474,0.9009,0.0147,0.8236,0.0626,0.7388,0.0686,0.9395,0.0107,0.8232,0.0234,0.7445,0.0626,0.6269,0.0637,0.8884,0.0187,0.907,0.0106,0.8514,0.0377,0.7785,0.0452,0.9321,0.0215,0.8961,0.0193,0.8404,0.07,0.7594,0.0709,0.9499,0.0148,13.4603,5.8619,16.0106,7.4812,17.3,7.8367,14.7212,7.1883,8.3597,2.7439
unet++,densenet169,"[1.0, 1.0, 2.0]",15,0.7386,0.9001,0.0145,0.8226,0.0663,0.7348,0.0703,0.9396,0.0116,0.8221,0.023,0.7436,0.0655,0.6226,0.0642,0.8886,0.0202,0.9067,0.0111,0.8403,0.0447,0.7871,0.0497,0.9291,0.0247,0.8954,0.019,0.8503,0.0661,0.7443,0.0681,0.9534,0.0157,14.3136,6.8103,17.0742,8.7171,18.0168,8.3142,16.1317,9.1563,8.7922,3.1009
unet++,densenet169,"[1.0, 1.0, 3.0]",15,0.7408,0.9005,0.015,0.8223,0.0699,0.7329,0.0732,0.9394,0.0116,0.8228,0.0238,0.7437,0.0696,0.6207,0.0673,0.8882,0.0201,0.9068,0.0107,0.8412,0.0472,0.7788,0.047,0.9313,0.0249,0.896,0.0206,0.8497,0.0707,0.7476,0.0774,0.9506,0.0179,14.0172,6.2301,16.6358,7.9157,17.4641,7.6153,15.8074,8.239,8.7802,2.9331
unet++,densenet169,"[1.0, 2.0, 1.0]",15,0.7496,0.9017,0.0153,0.8272,0.0631,0.7411,0.0693,0.9396,0.0115,0.8245,0.0245,0.7486,0.064,0.6296,0.0652,0.8887,0.0199,0.9074,0.0125,0.858,0.0385,0.7716,0.0506,0.9327,0.0225,0.8973,0.0196,0.8392,0.0686,0.7676,0.0735,0.9496,0.0175,13.4678,6.1586,15.9707,7.8927,17.079,8.4356,14.8624,7.4058,8.4621,2.7798
unet++,densenet169,"[1.0, 2.0, 2.0]",15,0.7476,0.9016,0.0153,0.8203,0.0676,0.738,0.0705,0.9396,0.0116,0.8244,0.0244,0.7417,0.0679,0.6265,0.066,0.8886,0.0201,0.9063,0.0113,0.845,0.0499,0.7681,0.0495,0.9353,0.0217,0.8981,0.0198,0.8412,0.0711,0.7656,0.0704,0.9469,0.0166,13.3175,5.6417,15.7747,7.1685,16.7772,7.4309,14.7723,7.067,8.4029,2.6468
unet++,densenet169,"[1.0, 3.0, 1.0]",15,0.7493,0.9009,0.0158,0.8267,0.06,0.7406,0.071,0.9381,0.0116,0.8232,0.0252,0.7472,0.0602,0.6287,0.0677,0.8859,0.0202,0.9049,0.0131,0.8623,0.0399,0.758,0.0495,0.9383,0.0227,0.8983,0.0197,0.8333,0.0638,0.7793,0.0743,0.941,0.0191,13.4783,6.3692,15.9665,8.0791,16.891,8.3993,15.0421,7.8425,8.5017,3.0065
unet++,densenet169,"[2.0, 1.0, 1.0]",15,0.7468,0.9006,0.0145,0.8226,0.0644,0.7364,0.068,0.9396,0.0108,0.8229,0.0232,0.7437,0.0649,0.6237,0.063,0.8886,0.0188,0.9082,0.0112,0.8479,0.0382,0.7829,0.0507,0.9299,0.024,0.8949,0.0197,0.8409,0.0718,0.7488,0.0708,0.9525,0.0175,13.4126,5.7018,15.9267,7.2181,16.8581,7.3175,14.9953,7.1997,8.3844,2.752
unet++,densenet169,"[2.0, 1.0, 2.0]",15,0.7486,0.9003,0.0145,0.8239,0.066,0.7364,0.0679,0.9395,0.0116,0.8225,0.0231,0.7456,0.0655,0.6236,0.0629,0.8885,0.0202,0.908,0.0111,0.8431,0.0385,0.7917,0.05,0.9275,0.0245,0.8946,0.0188,0.8493,0.0654,0.7405,0.0674,0.955,0.0155,13.1482,5.8299,15.7235,7.5098,16.6127,7.2947,14.8344,7.7659,7.9975,2.5525
unet++,densenet169,"[2.0, 2.0, 1.0]",15,0.7504,0.9018,0.0157,0.8263,0.064,0.7416,0.0708,0.9403,0.012,0.8247,0.025,0.7479,0.0639,0.6305,0.066,0.8898,0.0208,0.9089,0.0113,0.8619,0.0403,0.779,0.0458,0.9317,0.0228,0.8962,0.0203,0.8343,0.073,0.7625,0.0698,0.9519,0.0159,13.2954,6.6689,15.839,8.5256,16.7698,8.836,14.9082,8.2684,8.2082,3.0148
unet++,densenet169,"[3.0, 1.0, 1.0]",15,0.7406,0.8999,0.0151,0.8206,0.0687,0.731,0.0711,0.9398,0.0109,0.8218,0.0241,0.7421,0.0691,0.6186,0.065,0.889,0.0189,0.9091,0.011,0.8473,0.0429,0.7893,0.0529,0.9273,0.0245,0.8931,0.0204,0.8402,0.0733,0.7365,0.0762,0.9557,0.0165,13.8564,6.6782,16.4967,8.4263,17.2842,8.4861,15.7093,8.435,8.5758,3.2055
unet++,densenet169,"[3.0, 1.0, 2.0]",15,0.7434,0.9003,0.0144,0.827,0.0608,0.7343,0.0667,0.9404,0.0115,0.8225,0.0228,0.7487,0.061,0.6219,0.0609,0.89,0.0199,0.9098,0.0103,0.8478,0.0326,0.8002,0.0468,0.9264,0.0243,0.8934,0.0198,0.8465,0.0711,0.7317,0.0692,0.9578,0.0164,13.7805,6.9764,16.5585,8.9835,17.4125,8.9445,15.7044,9.0608,8.2246,3.0022
unet++,densenet169,"[3.0, 1.0, 3.0]",15,0.7506,0.9004,0.0146,0.829,0.0576,0.7374,0.0648,0.9402,0.012,0.8227,0.0232,0.7507,0.0582,0.6251,0.0597,0.8898,0.0209,0.9097,0.0102,0.8478,0.0347,0.8029,0.0372,0.9255,0.0248,0.8937,0.0197,0.8506,0.0685,0.7323,0.0706,0.9585,0.0152,13.2538,6.1414,15.7258,7.6905,16.598,7.3613,14.8536,8.0376,8.3099,3.0876
unet++,densenet169,"[3.0, 2.0, 1.0]",15,0.7473,0.9007,0.0144,0.8242,0.0601,0.7378,0.0679,0.9393,0.0113,0.823,0.023,0.7455,0.0594,0.6257,0.0634,0.8881,0.0196,0.9088,0.0109,0.8621,0.0419,0.7807,0.0473,0.9288,0.0244,0.8945,0.0186,0.8309,0.0667,0.7552,0.0685,0.9531,0.016,13.3839,5.8817,16.0115,7.4863,17.2704,8.0348,14.7527,7.011,8.1285,2.7136
unet++,densenet169,"[3.0, 2.0, 2.0]",15,0.7444,0.9,0.0153,0.8247,0.0634,0.736,0.0697,0.939,0.0109,0.8219,0.0243,0.7459,0.0638,0.6235,0.0645,0.8877,0.019,0.9066,0.0119,0.8478,0.0426,0.7802,0.0483,0.9296,0.0229,0.895,0.0197,0.8426,0.0718,0.7511,0.07,0.9518,0.016,13.7296,6.2815,16.3725,7.9843,17.5843,8.1897,15.1607,7.8211,8.4438,2.9533
unet++,densenet169,"[3.0, 3.0, 1.0]",15,0.745,0.9015,0.0156,0.8275,0.0628,0.7389,0.0722,0.9397,0.0112,0.8242,0.0248,0.7491,0.0623,0.6274,0.0669,0.8888,0.0195,0.9088,0.0112,0.8692,0.0326,0.775,0.0451,0.9313,0.0211,0.8956,0.0205,0.8318,0.0722,0.763,0.0701,0.9513,0.0151,13.841,7.2592,16.564,9.1999,17.5677,9.5768,15.5603,8.8947,8.3951,3.4464
unet++,densenet169,"[4.0, 1.0, 1.0]",15,0.7404,0.8996,0.0148,0.8232,0.0679,0.7335,0.0671,0.9396,0.0119,0.8213,0.0235,0.7454,0.0675,0.621,0.0605,0.8887,0.0205,0.9108,0.0091,0.8577,0.0377,0.7967,0.0465,0.9224,0.0265,0.8912,0.021,0.835,0.0814,0.7316,0.0742,0.9605,0.0143,13.9871,7.7685,16.7711,9.9013,17.8659,10.2436,15.6764,9.5868,8.419,3.5496
unet++,efficientnet-b3,"[1.0, 1.0, 1.0]",6,0.7285,0.8999,0.0202,0.8012,0.0665,0.7113,0.0824,0.94,0.0146,0.822,0.0318,0.7244,0.0641,0.6036,0.0794,0.8888,0.0259,0.908,0.0158,0.8315,0.0405,0.7579,0.0467,0.9296,0.0344,0.8944,0.0265,0.8362,0.0763,0.7461,0.1007,0.9544,0.0243,13.9365,4.4689,16.3495,5.9304,17.4871,6.096,15.2119,5.8149,9.1104,1.5689
unet++,efficientnet-b3,"[1.0, 1.0, 2.0]",6,0.7488,0.8974,0.0184,0.8251,0.0742,0.7265,0.0961,0.937,0.0126,0.8178,0.0288,0.745,0.074,0.6157,0.0905,0.8837,0.0222,0.9048,0.0135,0.849,0.0362,0.7789,0.0562,0.9272,0.0346,0.8927,0.0257,0.8436,0.0747,0.7401,0.1039,0.9508,0.0234,12.9564,5.4415,15.2594,7.2082,16.9812,8.0913,13.5376,6.3898,8.3505,2.0579
unet++,efficientnet-b3,"[1.0, 1.0, 3.0]",6,0.6841,0.8639,0.0762,0.7793,0.0934,0.6757,0.1104,0.9162,0.0518,0.7712,0.1058,0.6926,0.1051,0.5636,0.1122,0.8551,0.0722,0.8923,0.0318,0.8495,0.0481,0.7671,0.0526,0.892,0.087,0.8514,0.0926,0.7817,0.134,0.6775,0.143,0.9579,0.0249,16.8905,7.1799,20.1396,8.9489,21.4459,9.2901,18.8334,8.7699,10.3922,4.2125
unet++,efficientnet-b3,"[1.0, 2.0, 1.0]",6,0.7482,0.8981,0.0187,0.8273,0.0722,0.7291,0.0952,0.9364,0.0136,0.8189,0.0295,0.7462,0.0723,0.6173,0.0925,0.8826,0.0241,0.9042,0.0148,0.8617,0.0403,0.7561,0.0642,0.9309,0.0352,0.8944,0.0255,0.8326,0.0715,0.7658,0.1021,0.9459,0.0259,13.2836,5.9158,15.5865,7.8611,16.6068,8.3474,14.5661,7.4763,8.6779,2.1824
unet++,efficientnet-b3,"[1.0, 2.0, 2.0]",7,0.709,0.871,0.0822,0.7832,0.0925,0.6972,0.0894,0.92,0.0564,0.783,0.113,0.6968,0.1108,0.5844,0.097,0.8621,0.0776,0.8952,0.0337,0.8451,0.0431,0.7642,0.0445,0.9036,0.0914,0.8621,0.0983,0.7965,0.1433,0.7226,0.1381,0.953,0.0268,15.1331,5.5466,17.677,6.9505,19.2205,8.0905,16.1336,6.0388,10.0453,3.1542
unet++,efficientnet-b3,"[1.0, 3.0, 1.0]",6,0.7258,0.8942,0.0185,0.8036,0.0683,0.71,0.0842,0.9333,0.0153,0.8126,0.0293,0.723,0.0673,0.6013,0.0817,0.8775,0.0263,0.8999,0.0158,0.8488,0.0483,0.7307,0.0528,0.9331,0.0338,0.8911,0.0237,0.8121,0.0596,0.7626,0.0976,0.9379,0.029,14.4075,4.4791,16.8162,5.8606,17.6907,6.0646,15.9416,5.7649,9.5902,1.9017
unet++,efficientnet-b3,"[2.0, 1.0, 1.0]",8,0.7506,0.9028,0.0181,0.8262,0.0646,0.7319,0.079,0.9425,0.0146,0.8267,0.0287,0.749,0.0629,0.6221,0.0745,0.8933,0.0258,0.9112,0.0128,0.8535,0.0416,0.7811,0.0393,0.9303,0.0327,0.8968,0.0244,0.8459,0.0716,0.7493,0.0883,0.9584,0.0191,13.015,5.0897,15.3089,6.7688,16.3917,7.016,14.2261,6.5368,8.4271,1.8946
unet++,efficientnet-b3,"[2.0, 1.0, 2.0]",7,0.7545,0.9003,0.0192,0.8229,0.0653,0.7256,0.0872,0.9397,0.0144,0.8227,0.0302,0.7462,0.0632,0.6163,0.0816,0.8885,0.0256,0.9101,0.0136,0.8436,0.0399,0.7935,0.0408,0.924,0.0331,0.8936,0.0258,0.8519,0.0796,0.7315,0.0951,0.9596,0.0208,12.1643,4.348,14.2491,5.7148,15.1772,5.528,13.3209,5.9876,7.9946,1.6993
unet++,efficientnet-b3,"[2.0, 2.0, 1.0]",8,0.7498,0.9026,0.0184,0.8238,0.066,0.7365,0.0791,0.9417,0.0145,0.8264,0.0291,0.7465,0.0643,0.6267,0.0755,0.8919,0.0257,0.9094,0.0139,0.8623,0.0398,0.767,0.0473,0.9331,0.032,0.8977,0.0238,0.8348,0.0708,0.7664,0.0851,0.9538,0.0204,13.2392,5.716,15.5489,7.6888,16.3334,7.8524,14.7645,7.5467,8.6197,1.9485
unet++,efficientnet-b3,"[3.0, 1.0, 1.0]",9,0.7317,0.8996,0.0196,0.8158,0.0729,0.7251,0.0813,0.9418,0.0145,0.8216,0.031,0.7381,0.0727,0.6157,0.0764,0.8921,0.0256,0.9103,0.0134,0.8572,0.0374,0.7874,0.0393,0.9281,0.0329,0.8917,0.0265,0.8247,0.0853,0.7289,0.0939,0.9593,0.0183,14.5949,7.1838,17.2925,9.3318,19.148,10.751,15.4369,8.0333,9.1999,3.2417
unet++,efficientnet-b3,"[3.0, 1.0, 2.0]",8,0.7531,0.9012,0.0188,0.8313,0.06,0.7306,0.0804,0.9417,0.0154,0.8244,0.0296,0.7544,0.0585,0.6202,0.0754,0.8921,0.0271,0.9115,0.0126,0.8507,0.0341,0.7976,0.0387,0.9255,0.0348,0.8942,0.0256,0.8542,0.0717,0.7317,0.0888,0.9622,0.0186,12.8172,5.0661,15.1297,6.7099,16.379,7.2304,13.8805,6.2368,8.1922,1.9947
unet++,efficientnet-b3,"[3.0, 1.0, 3.0]",7,0.7421,0.8989,0.02,0.8211,0.0681,0.7162,0.0907,0.9394,0.0151,0.8206,0.0314,0.7447,0.066,0.6071,0.0826,0.8882,0.0267,0.911,0.0138,0.8355,0.0404,0.7968,0.0521,0.9197,0.0341,0.8909,0.0266,0.8551,0.0822,0.7155,0.0973,0.9638,0.0195,13.0987,5.8589,15.5534,7.8439,16.5932,7.6315,14.5135,8.0714,8.1892,1.9947
unet++,efficientnet-b3,"[3.0, 2.0, 1.0]",7,0.735,0.9007,0.0203,0.8116,0.0676,0.7207,0.0791,0.942,0.0157,0.8235,0.0322,0.7353,0.0651,0.6119,0.0745,0.8924,0.0278,0.9104,0.0151,0.8621,0.0386,0.7646,0.0358,0.9309,0.037,0.894,0.027,0.8196,0.0793,0.7507,0.0984,0.9572,0.0227,13.8079,4.9567,16.3618,6.7916,17.3935,7.3249,15.33,6.3112,8.7002,1.524
unet++,efficientnet-b3,"[3.0, 2.0, 2.0]",6,0.7395,0.8982,0.0203,0.821,0.0681,0.7201,0.0876,0.9405,0.0168,0.8194,0.0319,0.7419,0.0674,0.6106,0.0833,0.8897,0.0296,0.9069,0.0125,0.861,0.0252,0.7679,0.0389,0.9301,0.0408,0.8924,0.0289,0.8253,0.0792,0.739,0.106,0.9552,0.0211,13.7924,4.1254,16.1226,5.5393,17.345,6.1589,14.9002,5.0008,9.132,1.5392
unet++,efficientnet-b3,"[3.0, 3.0, 1.0]",8,0.7507,0.9018,0.0185,0.8255,0.0643,0.736,0.0789,0.941,0.0142,0.8251,0.0294,0.7478,0.0629,0.6258,0.0752,0.8908,0.0252,0.9091,0.0146,0.8698,0.0364,0.7619,0.0506,0.9331,0.0341,0.8969,0.0243,0.8287,0.0731,0.7708,0.0891,0.9528,0.0228,13.1854,5.6753,15.4769,7.6546,16.6658,8.3475,14.2881,6.991,8.6026,1.9874
unet++,efficientnet-b3,"[4.0, 1.0, 1.0]",9,0.738,0.8994,0.019,0.8187,0.0666,0.7223,0.0809,0.9421,0.014,0.8214,0.0301,0.7405,0.068,0.6122,0.0757,0.8926,0.0246,0.911,0.0133,0.8564,0.0411,0.7905,0.0401,0.9268,0.0324,0.891,0.0255,0.8256,0.0808,0.7234,0.092,0.9612,0.0181,13.9524,6.6108,16.3544,8.4329,17.4225,9.0374,15.2865,7.8649,9.1484,3.1415
unet++,efficientnet-b4,"[1.0, 1.0, 1.0]",6,0.7325,0.8954,0.019,0.8163,0.0832,0.7232,0.0932,0.9352,0.0134,0.8147,0.0296,0.7369,0.0819,0.6117,0.0863,0.8807,0.0236,0.9051,0.0113,0.8645,0.0358,0.7671,0.0602,0.9217,0.0343,0.8885,0.0272,0.8234,0.0943,0.743,0.1009,0.9538,0.0217,14.3353,6.7234,17.1068,9.084,18.5348,10.5195,15.6787,7.8328,8.7925,2.0955
unet++,efficientnet-b4,"[1.0, 1.0, 2.0]",6,0.7479,0.8962,0.0175,0.8243,0.0742,0.7249,0.0929,0.9358,0.0134,0.8161,0.0272,0.744,0.0732,0.6129,0.0876,0.8817,0.0237,0.9043,0.0124,0.8499,0.0383,0.7752,0.0577,0.923,0.0364,0.891,0.0248,0.8403,0.0739,0.7369,0.1012,0.9533,0.0228,12.9707,5.3198,15.27,7.079,15.8729,6.81,14.667,7.3669,8.3722,1.9023
unet++,efficientnet-b4,"[1.0, 1.0, 3.0]",4,0.7477,0.9002,0.0191,0.8238,0.0777,0.7316,0.0897,0.9409,0.0143,0.8225,0.0298,0.7445,0.0772,0.6213,0.0839,0.8905,0.0253,0.9023,0.0167,0.8468,0.0423,0.7563,0.0668,0.9408,0.0261,0.8987,0.0221,0.8494,0.0716,0.7672,0.0777,0.9446,0.0221,13.3696,5.2845,15.6207,7.2708,15.9931,6.5218,15.2482,8.0435,8.8674,1.3594
unet++,efficientnet-b4,"[1.0, 2.0, 1.0]",7,0.7336,0.895,0.0196,0.8107,0.0864,0.726,0.0918,0.9341,0.013,0.8139,0.0308,0.7322,0.0844,0.6152,0.0853,0.879,0.0229,0.9044,0.012,0.8729,0.035,0.759,0.0586,0.9251,0.0318,0.8885,0.0278,0.8076,0.1017,0.7554,0.1005,0.948,0.0224,14.1583,6.2848,16.793,8.4474,17.879,9.4554,15.7069,7.6314,8.8891,2.0337
unet++,efficientnet-b4,"[1.0, 2.0, 2.0]",6,0.7433,0.8969,0.0183,0.8207,0.0792,0.7277,0.0935,0.9358,0.0127,0.817,0.0285,0.7409,0.0789,0.6165,0.0876,0.8817,0.0224,0.9035,0.0132,0.8545,0.0402,0.7624,0.066,0.9281,0.0342,0.8928,0.0256,0.8344,0.0836,0.7537,0.1049,0.948,0.0253,13.4188,5.6163,15.9198,7.6244,16.6727,7.692,15.1669,7.5968,8.4168,1.7136
unet++,efficientnet-b4,"[1.0, 3.0, 1.0]",7,0.7215,0.8989,0.0229,0.8003,0.0876,0.7204,0.0939,0.938,0.0157,0.8203,0.0364,0.7245,0.0852,0.6122,0.0885,0.8857,0.0276,0.908,0.0155,0.8658,0.0429,0.7477,0.0614,0.9302,0.0352,0.893,0.0311,0.8109,0.1093,0.7699,0.108,0.9504,0.0252,15.0257,7.5843,17.812,10.0736,18.9368,11.0913,16.6872,9.1276,9.4531,2.6766
unet++,efficientnet-b4,"[2.0, 1.0, 1.0]",9,0.7328,0.8989,0.0184,0.8102,0.075,0.716,0.0832,0.9389,0.0153,0.8204,0.0294,0.7348,0.0726,0.6075,0.0748,0.8873,0.0267,0.9098,0.0123,0.8565,0.0428,0.7749,0.0455,0.9241,0.0333,0.8908,0.0256,0.8264,0.0898,0.7357,0.0878,0.9583,0.0201,13.8857,5.6107,16.3963,7.4039,17.2051,7.5059,15.5876,7.3651,8.8645,2.1125
unet++,efficientnet-b4,"[2.0, 1.0, 2.0]",7,0.7437,0.8993,0.0187,0.8188,0.0695,0.7209,0.0867,0.9388,0.0149,0.8212,0.0295,0.7415,0.0689,0.6105,0.0807,0.887,0.0264,0.9099,0.0136,0.8492,0.0326,0.7847,0.0477,0.9208,0.0331,0.8917,0.0248,0.8456,0.0836,0.7316,0.09,0.9615,0.0196,13.0332,5.2854,15.4368,7.1279,15.8306,6.9085,15.0431,7.4217,8.226,1.6915
unet++,efficientnet-b4,"[2.0, 2.0, 1.0]",9,0.7285,0.897,0.0192,0.8008,0.0795,0.7154,0.0819,0.9355,0.0142,0.8172,0.0305,0.7242,0.0779,0.607,0.0744,0.8817,0.0248,0.9079,0.0135,0.8566,0.0422,0.7621,0.0555,0.9226,0.0287,0.8889,0.0254,0.8153,0.0906,0.745,0.0857,0.9533,0.0223,13.9982,5.6018,16.5297,7.4141,17.3768,7.9616,15.6827,6.9505,8.9351,2.0669
unet++,efficientnet-b4,"[3.0, 1.0, 1.0]",11,0.7237,0.8974,0.0175,0.807,0.0704,0.7133,0.0778,0.9388,0.0145,0.8181,0.0279,0.7295,0.0704,0.6042,0.071,0.8873,0.0252,0.9101,0.0113,0.8586,0.0403,0.7842,0.0405,0.9224,0.0308,0.8878,0.0243,0.8143,0.0883,0.7201,0.088,0.9598,0.0173,14.7326,5.9178,17.4622,7.7281,18.6695,8.423,16.2549,7.1062,9.2734,2.406
unet++,efficientnet-b4,"[3.0, 1.0, 2.0]",7,0.7262,0.897,0.0209,0.8106,0.0772,0.7091,0.0944,0.9376,0.0162,0.8177,0.0329,0.735,0.075,0.6003,0.0842,0.8851,0.0284,0.9114,0.0131,0.8493,0.041,0.7918,0.05,0.916,0.0368,0.8872,0.0291,0.8349,0.0983,0.7158,0.1044,0.9648,0.0203,14.3626,7.7828,17.05,10.1977,17.4226,9.6002,16.6774,10.8325,8.9876,3.0316
unet++,efficientnet-b4,"[3.0, 1.0, 3.0]",7,0.7349,0.8975,0.0193,0.8172,0.0708,0.7132,0.0854,0.9384,0.0152,0.8184,0.0303,0.7409,0.0685,0.6032,0.0754,0.8863,0.0268,0.9108,0.0127,0.8472,0.0384,0.7944,0.0574,0.917,0.0352,0.8887,0.0269,0.8461,0.0911,0.7134,0.0994,0.9649,0.0196,13.8019,7.1343,16.2895,9.3813,16.5387,8.5342,16.0402,10.2704,8.8268,2.7849
unet++,efficientnet-b4,"[3.0, 2.0, 1.0]",9,0.7298,0.8973,0.0186,0.8046,0.0764,0.7153,0.0801,0.9361,0.0139,0.8177,0.0296,0.7278,0.0751,0.6066,0.0731,0.8826,0.0244,0.9093,0.0131,0.865,0.041,0.7692,0.0464,0.921,0.0296,0.8881,0.0249,0.8135,0.0864,0.7409,0.0885,0.956,0.0211,13.9681,5.9306,16.5266,7.7438,17.0536,7.8031,15.9996,7.745,8.8512,2.3861
unet++,efficientnet-b4,"[3.0, 2.0, 2.0]",7,0.7391,0.8987,0.0201,0.8132,0.076,0.7191,0.0878,0.938,0.0151,0.8202,0.0319,0.7362,0.0751,0.6094,0.0802,0.8858,0.0267,0.9098,0.0145,0.8531,0.0414,0.7752,0.0559,0.9216,0.0338,0.8909,0.0268,0.8343,0.094,0.7391,0.0963,0.9594,0.0226,13.433,5.6379,15.7542,7.3829,16.2208,7.3287,15.2876,7.4952,8.7907,2.2141
unet++,efficientnet-b4,"[3.0, 3.0, 1.0]",9,0.7126,0.8964,0.0196,0.7901,0.08,0.7047,0.0827,0.9372,0.0147,0.8163,0.0312,0.7128,0.0796,0.5974,0.0761,0.8843,0.0256,0.9082,0.0138,0.8553,0.0413,0.7534,0.0522,0.9244,0.0302,0.8874,0.0261,0.7989,0.0939,0.7365,0.0965,0.9545,0.0221,15.1372,6.2722,17.8553,8.1511,18.9578,9.0622,16.7528,7.3043,9.701,2.5742
unet++,efficientnet-b4,"[4.0, 1.0, 1.0]",11,0.7087,0.8949,0.0179,0.798,0.0821,0.7068,0.0813,0.9368,0.0134,0.8139,0.0283,0.7219,0.0797,0.598,0.0719,0.8839,0.0232,0.9103,0.0108,0.8585,0.0382,0.7879,0.0425,0.9163,0.028,0.8832,0.0248,0.807,0.0976,0.7084,0.0861,0.9624,0.0166,15.8681,7.888,18.9333,10.159,20.1801,10.9152,17.6864,9.4407,9.7376,3.4472
unet++,resnet34,"[1.0, 1.0, 1.0]",15,0.7204,0.8958,0.0168,0.8078,0.0744,0.7158,0.0833,0.9364,0.0124,0.8153,0.0263,0.7276,0.0724,0.6052,0.0743,0.8831,0.0215,0.9045,0.0107,0.8395,0.0437,0.7719,0.0399,0.9256,0.0233,0.8892,0.0231,0.8295,0.0802,0.7321,0.0867,0.951,0.016,15.4155,6.9118,18.1258,8.6864,18.811,8.2743,17.4406,9.1748,9.9948,3.47
