arch,encoder,class_weights,n_runs,composite_score,dice_macro_mean,dice_macro_sd,dice_axon_mean,dice_axon_sd,dice_myelin_mean,dice_myelin_sd,dice_bg_mean,dice_bg_sd,iou_macro_mean,iou_macro_sd,iou_axon_mean,iou_axon_sd,iou_myelin_mean,iou_myelin_sd,iou_bg_mean,iou_bg_sd,precision_macro_mean,precision_macro_sd,precision_axon_mean,precision_axon_sd,precision_myelin_mean,precision_myelin_sd,precision_bg_mean,precision_bg_sd,recall_macro_mean,recall_macro_sd,recall_axon_mean,recall_axon_sd,recall_myelin_mean,recall_myelin_sd,recall_bg_mean,recall_bg_sd,hd95_macro_mean,hd95_macro_sd,hd95_myelin_axon_mean,hd95_myelin_axon_sd,hd95_axon_mean,hd95_axon_sd,hd95_myelin_mean,hd95_myelin_sd,hd95_bg_mean,hd95_bg_sd
manet,resnet34,"[1.0, 2.0, 1.0]",15,0.7324,0.8951,0.0151,0.8088,0.0623,0.727,0.0701,0.9352,0.0117,0.8137,0.0237,0.7243,0.0606,0.6132,0.0643,0.881,0.02,0.8987,0.0132,0.8336,0.052,0.7387,0.0563,0.9332,0.0203,0.8926,0.0177,0.8281,0.0615,0.769,0.0673,0.9401,0.0178,14.6091,4.8392,16.9369,5.989,17.8676,5.9199,16.0062,6.1744,9.9537,2.7302
manet,resnet34,"[1.0, 2.0, 2.0]",15,0.7177,0.893,0.0159,0.8035,0.0692,0.7184,0.0756,0.9338,0.012,0.8106,0.0249,0.7197,0.0671,0.6042,0.0694,0.8785,0.0207,0.8952,0.0128,0.8168,0.0541,0.736,0.0556,0.9333,0.021,0.8918,0.0197,0.8352,0.0671,0.7603,0.0705,0.9374,0.0171,15.8123,6.2592,18.4401,7.9105,19.4358,7.8891,17.4444,8.0025,10.5568,3.1325
manet,resnet34,"[1.0, 3.0, 1.0]",15,0.7265,0.8942,0.0165,0.8056,0.0652,0.7272,0.0698,0.933,0.0131,0.8123,0.0259,0.7218,0.0624,0.6133,0.0651,0.8773,0.0225,0.8976,0.0145,0.8444,0.0524,0.7271,0.0485,0.9375,0.021,0.8928,0.0198,0.8155,0.0651,0.7862,0.0757,0.932,0.0226,15.1394,5.434,17.6617,6.9183,18.6054,6.9803,16.718,6.9258,10.0949,2.6406
manet,resnet34,"[2.0, 1.0, 1.0]",15,0.7262,0.8951,0.0145,0.8084,0.0655,0.7187,0.074,0.9365,0.0117,0.8139,0.0229,0.7256,0.0644,0.6048,0.0669,0.8834,0.0202,0.9049,0.0101,0.8299,0.0558,0.7731,0.0498,0.9204,0.0228,0.8872,0.0193,0.8312,0.0646,0.7291,0.0706,0.9564,0.0135,14.7989,5.982,17.432,7.5059,18.5984,7.8041,16.2657,7.2659,9.5327,2.9983
manet,resnet34,"[2.0, 1.0, 2.0]",15,0.7217,0.892,0.0218,0.8053,0.0739,0.715,0.0752,0.9352,0.0146,0.8094,0.034,0.7225,0.0736,0.6014,0.0676,0.8811,0.0252,0.8993,0.026,0.8099,0.0731,0.7734,0.0655,0.9223,0.0238,0.8875,0.0205,0.8489,0.0608,0.7211,0.0653,0.9518,0.0255,15.0988,7.0827,17.7531,8.7099,19.0635,9.2915,16.4427,8.1876,9.7901,3.9146
manet,resnet34,"[2.0, 2.0, 1.0]",15,0.721,0.8947,0.0169,0.803,0.0718,0.7207,0.0769,0.9352,0.0125,0.8132,0.0266,0.7199,0.0709,0.6073,0.0713,0.881,0.0215,0.9009,0.0138,0.8363,0.0555,0.7421,0.0547,0.9298,0.0236,0.89,0.0211,0.8154,0.0711,0.7581,0.081,0.9438,0.0177,15.2988,6.1227,18.0286,7.8128,18.8294,7.818,17.2277,7.8715,9.8392,2.9429
manet,resnet34,"[3.0, 1.0, 1.0]",15,0.7168,0.8939,0.0143,0.8043,0.0719,0.7127,0.0767,0.9362,0.0113,0.8122,0.0225,0.7225,0.0702,0.5993,0.0682,0.8827,0.0195,0.9063,0.0103,0.8331,0.0514,0.7793,0.0504,0.9167,0.0235,0.8843,0.0191,0.8246,0.0724,0.717,0.0739,0.9597,0.0139,15.5498,6.3749,18.3239,7.9862,19.259,7.7599,17.3888,8.2792,10.0017,3.215
manet,resnet34,"[3.0, 1.0, 2.0]",15,0.7256,0.8936,0.0146,0.8097,0.0656,0.7153,0.0712,0.9366,0.0122,0.8117,0.0229,0.7267,0.0641,0.601,0.0644,0.8836,0.0211,0.903,0.0121,0.8171,0.0546,0.7864,0.0473,0.9199,0.0244,0.8869,0.0179,0.8446,0.0616,0.7114,0.0642,0.9572,0.0144,14.6931,5.404,17.41,6.9748,18.4189,6.7869,16.4011,7.2456,9.2594,2.397
manet,resnet34,"[3.0, 1.0, 3.0]",15,0.7181,0.8919,0.0144,0.8057,0.0702,0.7055,0.0803,0.9362,0.0123,0.8091,0.0225,0.7219,0.0686,0.5917,0.07,0.8829,0.0212,0.9042,0.0098,0.8111,0.0488,0.8007,0.0421,0.9155,0.0255,0.8836,0.0195,0.8469,0.0669,0.6937,0.075,0.9613,0.0134,15.1136,6.647,17.8382,8.2802,18.9177,7.8489,16.7587,8.7602,9.6643,3.4224
manet,resnet34,"[3.0, 2.0, 1.0]",15,0.7221,0.8945,0.0148,0.8052,0.0709,0.7199,0.0729,0.9354,0.0126,0.813,0.0234,0.7219,0.0691,0.6053,0.0668,0.8814,0.0217,0.9033,0.0124,0.8379,0.0559,0.7546,0.0553,0.9227,0.0255,0.8875,0.0183,0.8206,0.0658,0.7449,0.0709,0.9518,0.0173,15.2573,6.149,17.9383,7.7072,19.144,7.8477,16.7325,7.6205,9.8955,3.1262
