run_id,stage,wave,arch,encoder,class_weights,n_images,train_pct,val_pct,seed,augmentation,checkpoint_metric,best_epoch,epochs_completed,early_stopped,best_val_loss,dice_macro,dice_axon,dice_myelin,dice_bg,iou_macro,iou_axon,iou_myelin,iou_bg,precision_macro,precision_axon,precision_myelin,precision_bg,recall_macro,recall_axon,recall_myelin,recall_bg,hd95_macro,hd95_myelin_axon,hd95_axon,hd95_myelin,hd95_bg,train_stems,val_stems,model_path,result_path,collapse_pct_arch,collapse_pct_encoder,collapse_pct_combo
sw__unet++__efficientnet-b3__cw3_1_3__67_33__seed5,sweep,1,unet++,efficientnet-b3,"[3.0, 1.0, 3.0]",30,67,33,5,False,val_loss,1,41,True,0.8195,0.427,0.2211,0.1515,0.7503,0.308,0.1523,0.1008,0.6284,0.7991,0.8875,0.8533,0.6287,0.4317,0.1613,0.1036,0.9992,68.4724,79.87,81.2876,78.4524,45.6773,"['ctrl_img_8', 'ctrl_img_6', 'ctrl_img_5', 'ctrl_img_9', 'ctrl_img_27', 'ctrl_img_17', 'ctrl_img_26', 'ctrl_img_4', 'ctrl_img_16', 'ctrl_img_20', 'regen_img_23', 'regen_img_3', 'regen_img_12', 'regen_img_19', 'regen_img_24', 'regen_img_14', 'regen_img_7', 'regen_img_11', 'regen_img_13', 'regen_img_28']","['ctrl_img_25', 'ctrl_img_22', 'ctrl_img_10', 'ctrl_img_1', 'ctrl_img_21', 'regen_img_18', 'regen_img_15', 'regen_img_29', 'regen_img_2', 'regen_img_30']",/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__unet++__efficientnet-b3__cw3_1_3__67_33__seed5.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__unet++__efficientnet-b3__cw3_1_3__67_33__seed5/result.json,13.1,38.9,41.7
sw__unet++__efficientnet-b3__cw3_1_3__80_20__seed2,sweep,1,unet++,efficientnet-b3,"[3.0, 1.0, 3.0]",30,80,20,2,False,val_loss,1,41,True,0.7261,0.4976,0.1873,0.2077,0.8018,0.3672,0.1279,0.149,0.6902,0.8509,0.9491,0.9182,0.6905,0.4701,0.1299,0.1567,0.9994,65.1625,71.4346,76.394,66.4752,52.6183,"['ctrl_img_1', 'ctrl_img_8', 'ctrl_img_4', 'ctrl_img_10', 'ctrl_img_16', 'ctrl_img_20', 'ctrl_img_9', 'ctrl_img_26', 'ctrl_img_25', 'ctrl_img_6', 'ctrl_img_21', 'ctrl_img_5', 'regen_img_28', 'regen_img_23', 'regen_img_14', 'regen_img_3', 'regen_img_11', 'regen_img_18', 'regen_img_7', 'regen_img_19', 'regen_img_2', 'regen_img_15', 'regen_img_24', 'regen_img_12']","['ctrl_img_22', 'ctrl_img_17', 'ctrl_img_27', 'regen_img_13', 'regen_img_29', 'regen_img_30']",/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__unet++__efficientnet-b3__cw3_1_3__80_20__seed2.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__unet++__efficientnet-b3__cw3_1_3__80_20__seed2/result.json,13.1,38.9,41.7
sw__unet++__efficientnet-b3__cw3_1_3__93_7__seed2,sweep,1,unet++,efficientnet-b3,"[3.0, 1.0, 3.0]",30,93,7,2,False,val_loss,1,41,True,0.8151,0.3786,0.104,0.1241,0.7685,0.2815,0.0618,0.0747,0.6489,0.8196,0.7334,0.8516,0.6491,0.3964,0.0628,0.0755,0.9996,80.1568,97.9105,109.4585,86.3625,44.6494,"['ctrl_img_17', 'ctrl_img_27', 'ctrl_img_1', 'ctrl_img_8', 'ctrl_img_4', 'ctrl_img_10', 'ctrl_img_16', 'ctrl_img_20', 'ctrl_img_9', 'ctrl_img_26', 'ctrl_img_25', 'ctrl_img_6', 'ctrl_img_21', 'ctrl_img_5', 'regen_img_29', 'regen_img_30', 'regen_img_28', 'regen_img_23', 'regen_img_14', 'regen_img_3', 'regen_img_11', 'regen_img_18', 'regen_img_7', 'regen_img_19', 'regen_img_2', 'regen_img_15', 'regen_img_24', 'regen_img_12']","['ctrl_img_22', 'regen_img_13']",/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__unet++__efficientnet-b3__cw3_1_3__93_7__seed2.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__unet++__efficientnet-b3__cw3_1_3__93_7__seed2/result.json,13.1,38.9,41.7
sw__unet++__efficientnet-b3__cw3_2_1__67_33__seed1,sweep,1,unet++,efficientnet-b3,"[3.0, 2.0, 1.0]",30,67,33,1,False,val_loss,1,41,True,0.8523,0.411,0.3285,0.08,0.7445,0.3046,0.2212,0.0481,0.6353,0.7612,0.747,0.7519,0.6359,0.4281,0.2999,0.1046,0.9988,62.4658,78.2827,64.7427,91.8226,30.8322,"['ctrl_img_4', 'ctrl_img_21', 'ctrl_img_20', 'ctrl_img_5', 'ctrl_img_26', 'ctrl_img_10', 'ctrl_img_9', 'ctrl_img_16', 'ctrl_img_17', 'ctrl_img_27', 'regen_img_2', 'regen_img_15', 'regen_img_29', 'regen_img_23', 'regen_img_12', 'regen_img_3', 'regen_img_13', 'regen_img_14', 'regen_img_18', 'regen_img_7']","['ctrl_img_1', 'ctrl_img_22', 'ctrl_img_25', 'ctrl_img_8', 'ctrl_img_6', 'regen_img_30', 'regen_img_11', 'regen_img_19', 'regen_img_28', 'regen_img_24']",/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__unet++__efficientnet-b3__cw3_2_1__67_33__seed1.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__unet++__efficientnet-b3__cw3_2_1__67_33__seed1/result.json,13.1,38.9,41.7
sw__unet++__efficientnet-b3__cw3_2_1__67_33__seed2,sweep,1,unet++,efficientnet-b3,"[3.0, 2.0, 1.0]",30,67,33,2,False,val_loss,2,42,True,0.8342,0.4429,0.2481,0.215,0.7708,0.3224,0.1822,0.148,0.6624,0.8,0.9617,0.7025,0.6636,0.438,0.1867,0.1708,0.9982,63.289,72.4145,73.6431,71.186,45.0379,"['ctrl_img_4', 'ctrl_img_10', 'ctrl_img_16', 'ctrl_img_20', 'ctrl_img_9', 'ctrl_img_26', 'ctrl_img_25', 'ctrl_img_6', 'ctrl_img_21', 'ctrl_img_5', 'regen_img_14', 'regen_img_3', 'regen_img_11', 'regen_img_18', 'regen_img_7', 'regen_img_19', 'regen_img_2', 'regen_img_15', 'regen_img_24', 'regen_img_12']","['ctrl_img_22', 'ctrl_img_17', 'ctrl_img_27', 'ctrl_img_1', 'ctrl_img_8', 'regen_img_13', 'regen_img_29', 'regen_img_30', 'regen_img_28', 'regen_img_23']",/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__unet++__efficientnet-b3__cw3_2_1__67_33__seed2.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__unet++__efficientnet-b3__cw3_2_1__67_33__seed2/result.json,13.1,38.9,41.7
sw__unet++__efficientnet-b3__cw3_2_1__67_33__seed3,sweep,1,unet++,efficientnet-b3,"[3.0, 2.0, 1.0]",30,67,33,3,False,val_loss,2,42,True,0.743,0.366,0.1479,0.235,0.7233,0.2675,0.1202,0.1734,0.6077,0.8034,0.9814,0.8292,0.6083,0.3973,0.124,0.1874,0.9962,70.9771,85.4656,105.68,65.2512,42.0,"['ctrl_img_16', 'ctrl_img_8', 'ctrl_img_5', 'ctrl_img_26', 'ctrl_img_6', 'ctrl_img_27', 'ctrl_img_10', 'ctrl_img_25', 'ctrl_img_22', 'ctrl_img_20', 'regen_img_30', 'regen_img_15', 'regen_img_3', 'regen_img_2', 'regen_img_14', 'regen_img_12', 'regen_img_23', 'regen_img_29', 'regen_img_28', 'regen_img_24']","['ctrl_img_21', 'ctrl_img_1', 'ctrl_img_17', 'ctrl_img_9', 'ctrl_img_4', 'regen_img_18', 'regen_img_7', 'regen_img_11', 'regen_img_19', 'regen_img_13']",/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__unet++__efficientnet-b3__cw3_2_1__67_33__seed3.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__unet++__efficientnet-b3__cw3_2_1__67_33__seed3/result.json,13.1,38.9,41.7
sw__unet++__efficientnet-b3__cw3_2_1__67_33__seed4,sweep,1,unet++,efficientnet-b3,"[3.0, 2.0, 1.0]",30,67,33,4,False,val_loss,1,41,True,0.7679,0.3151,0.1833,0.1347,0.6767,0.2255,0.1166,0.0796,0.5553,0.7474,0.9388,0.7569,0.5559,0.3748,0.1192,0.0845,0.9988,68.5912,79.1048,77.3781,80.8314,47.5639,"['ctrl_img_20', 'ctrl_img_4', 'ctrl_img_17', 'ctrl_img_10', 'ctrl_img_22', 'ctrl_img_21', 'ctrl_img_26', 'ctrl_img_8', 'ctrl_img_25', 'ctrl_img_1', 'regen_img_29', 'regen_img_19', 'regen_img_30', 'regen_img_14', 'regen_img_3', 'regen_img_7', 'regen_img_12', 'regen_img_11', 'regen_img_13', 'regen_img_18']","['ctrl_img_16', 'ctrl_img_27', 'ctrl_img_6', 'ctrl_img_9', 'ctrl_img_5', 'regen_img_15', 'regen_img_24', 'regen_img_23', 'regen_img_2', 'regen_img_28']",/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__unet++__efficientnet-b3__cw3_2_1__67_33__seed4.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__unet++__efficientnet-b3__cw3_2_1__67_33__seed4/result.json,13.1,38.9,41.7
sw__unet++__efficientnet-b3__cw3_2_1__67_33__seed5,sweep,1,unet++,efficientnet-b3,"[3.0, 2.0, 1.0]",30,67,33,5,False,val_loss,1,41,True,0.8234,0.3214,0.0708,0.1054,0.7308,0.2399,0.046,0.0676,0.6065,0.7885,0.9797,0.7778,0.6066,0.3704,0.0462,0.0704,0.9995,88.7053,104.6275,124.0428,85.2122,56.861,"['ctrl_img_8', 'ctrl_img_6', 'ctrl_img_5', 'ctrl_img_9', 'ctrl_img_27', 'ctrl_img_17', 'ctrl_img_26', 'ctrl_img_4', 'ctrl_img_16', 'ctrl_img_20', 'regen_img_23', 'regen_img_3', 'regen_img_12', 'regen_img_19', 'regen_img_24', 'regen_img_14', 'regen_img_7', 'regen_img_11', 'regen_img_13', 'regen_img_28']","['ctrl_img_25', 'ctrl_img_22', 'ctrl_img_10', 'ctrl_img_1', 'ctrl_img_21', 'regen_img_18', 'regen_img_15', 'regen_img_29', 'regen_img_2', 'regen_img_30']",/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__unet++__efficientnet-b3__cw3_2_1__67_33__seed5.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__unet++__efficientnet-b3__cw3_2_1__67_33__seed5/result.json,13.1,38.9,41.7
sw__unet++__efficientnet-b3__cw3_2_1__80_20__seed5,sweep,1,unet++,efficientnet-b3,"[3.0, 2.0, 1.0]",30,80,20,5,False,val_loss,1,41,True,0.6697,0.3855,0.1869,0.2011,0.732,0.2792,0.1351,0.1367,0.6173,0.7964,0.9562,0.806,0.6183,0.4064,0.139,0.1471,0.9986,70.8579,82.1712,89.0025,75.3398,48.2313,"['ctrl_img_1', 'ctrl_img_21', 'ctrl_img_8', 'ctrl_img_6', 'ctrl_img_5', 'ctrl_img_9', 'ctrl_img_27', 'ctrl_img_17', 'ctrl_img_26', 'ctrl_img_4', 'ctrl_img_16', 'ctrl_img_20', 'regen_img_2', 'regen_img_30', 'regen_img_23', 'regen_img_3', 'regen_img_12', 'regen_img_19', 'regen_img_24', 'regen_img_14', 'regen_img_7', 'regen_img_11', 'regen_img_13', 'regen_img_28']","['ctrl_img_25', 'ctrl_img_22', 'ctrl_img_10', 'regen_img_18', 'regen_img_15', 'regen_img_29']",/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__unet++__efficientnet-b3__cw3_2_1__80_20__seed5.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__unet++__efficientnet-b3__cw3_2_1__80_20__seed5/result.json,13.1,38.9,41.7
sw__unet++__efficientnet-b3__cw3_2_1__93_7__seed2,sweep,1,unet++,efficientnet-b3,"[3.0, 2.0, 1.0]",30,93,7,2,False,val_loss,1,41,True,0.6668,0.4149,0.1127,0.1808,0.7751,0.3062,0.067,0.1132,0.656,0.819,0.6442,0.7695,0.6565,0.4184,0.0679,0.1156,0.9988,75.3536,92.9823,107.4169,78.5477,40.096,"['ctrl_img_17', 'ctrl_img_27', 'ctrl_img_1', 'ctrl_img_8', 'ctrl_img_4', 'ctrl_img_10', 'ctrl_img_16', 'ctrl_img_20', 'ctrl_img_9', 'ctrl_img_26', 'ctrl_img_25', 'ctrl_img_6', 'ctrl_img_21', 'ctrl_img_5', 'regen_img_29', 'regen_img_30', 'regen_img_28', 'regen_img_23', 'regen_img_14', 'regen_img_3', 'regen_img_11', 'regen_img_18', 'regen_img_7', 'regen_img_19', 'regen_img_2', 'regen_img_15', 'regen_img_24', 'regen_img_12']","['ctrl_img_22', 'regen_img_13']",/lustre/home/mazurm/deepaxon/analysis/models/sw/sw__unet++__efficientnet-b3__cw3_2_1__93_7__seed2.pt,/lustre/home/mazurm/deepaxon/analysis/results/sw/sw__unet++__efficientnet-b3__cw3_2_1__93_7__seed2/result.json,13.1,38.9,41.7
